-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                  MERRA-2 Earth Skin Temperature (C) 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M_RANGE           MERRA-2 Temperature at 2 Meters Range (C) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,-0.75,38.25,24.85,25.75,27.32,26.16,25.18,24.0,23.07,23.84,24.98,24.08,23.14,23.12,24.62
TS,1984,-0.75,38.75,28.32,29.31,30.79,28.84,27.57,26.27,25.37,26.24,27.58,26.59,25.48,26.07,27.37
TS,1984,-0.75,39.25,30.71,31.32,32.74,30.39,28.41,26.93,26.32,27.15,28.84,28.2,27.49,28.81,28.93
TS,1984,-0.75,39.75,31.66,32.19,33.49,31.16,28.86,27.28,26.75,27.57,29.44,29.02,28.3,29.73,29.61
TS,1984,-0.75,40.25,31.88,32.34,33.4,31.62,29.11,27.13,26.78,27.68,29.65,29.54,28.3,29.9,29.77
TS,1984,-1.25,38.25,24.47,25.23,26.52,25.49,24.31,23.09,22.21,22.92,24.2,23.49,22.92,22.82,23.97
TS,1984,-1.25,38.75,28.16,29.1,30.27,28.3,26.97,25.74,24.87,25.73,27.13,26.1,25.5,26.07,26.99
TS,1984,-1.25,39.25,30.8,31.49,32.64,29.96,28.08,26.68,26.07,26.95,28.65,27.67,27.23,28.51,28.72
TS,1984,-1.25,39.75,31.92,32.47,33.51,30.81,28.56,26.98,26.52,27.35,29.18,28.48,27.83,29.37,29.41
TS,1984,-1.25,40.25,32.04,32.48,33.34,31.24,28.77,26.79,26.48,27.31,29.17,29.03,27.89,29.44,29.49
TS,1984,-1.75,38.25,24.68,25.34,26.51,25.65,24.22,22.99,22.25,22.94,24.2,23.65,23.24,23.04,24.05
TS,1984,-1.75,38.75,27.87,28.8,29.64,27.88,26.29,25.1,24.29,25.12,26.51,25.66,25.4,25.89,26.53
TS,1984,-1.75,39.25,30.59,31.43,32.27,29.59,27.55,26.17,25.59,26.57,28.25,27.24,26.83,27.87,28.32
TS,1984,-1.75,39.75,31.85,32.47,33.15,30.42,28.12,26.44,26.1,26.98,28.71,27.99,27.27,28.63,29.0
TS,1984,-1.75,40.25,31.91,32.35,32.94,30.78,28.4,26.4,26.14,26.91,28.55,28.5,27.48,28.7,29.08
TS,1984,-2.25,38.25,24.86,25.76,26.67,25.88,24.21,22.98,22.44,23.16,24.39,23.84,23.62,23.37,24.26
TS,1984,-2.25,38.75,27.8,28.94,29.5,27.9,25.96,24.75,24.06,24.95,26.32,25.67,25.5,25.74,26.41
TS,1984,-2.25,39.25,30.28,31.24,31.83,29.38,26.87,25.35,24.92,26.13,27.75,27.07,26.72,27.25,27.89
TS,1984,-2.25,39.75,31.18,31.92,32.35,29.97,27.41,25.61,25.39,26.44,27.95,27.55,27.05,27.82,28.38
TS,1984,-2.25,40.25,30.72,31.2,31.8,30.07,27.73,25.84,25.55,26.25,27.5,27.7,27.23,27.92,28.28
TS,1985,-0.75,38.25,25.11,25.6,26.03,25.1,24.38,23.59,23.07,23.6,25.06,24.89,23.74,24.06,24.51
TS,1985,-0.75,38.75,28.9,29.01,29.32,27.5,26.65,25.96,25.5,26.08,27.64,27.55,26.41,27.27,27.31
TS,1985,-0.75,39.25,31.13,31.62,31.34,28.44,27.19,26.77,26.08,26.9,28.7,29.11,28.86,29.72,28.8
TS,1985,-0.75,39.75,31.91,32.56,32.13,28.95,27.46,27.15,26.41,27.29,29.2,29.85,29.88,30.62,29.43
